rgi_id,glac_name,termlat,termlon,cenlat,cenlon,slope_deg,area_km2,zmin_m,zmax_m
RGI2000-v7.0-G-15-02835,,30.14725009749185,81.65651647864055,30.148194,81.65974641164007,26.566633,0.144315820215362,5183.1694,5437.4863
RGI2000-v7.0-G-15-02836,,30.145790264791643,81.65497587453628,30.144068500000003,81.65705572797131,35.97031,0.106112856789005,5001.6587,5258.98
RGI2000-v7.0-G-15-02837,,30.165028477587093,81.62832857232829,30.166748499999997,81.62980296855983,27.71418,0.07920229168475,5085.423,5315.9263
RGI2000-v7.0-G-15-02838,,30.169310802419538,81.63022991483244,30.17089,81.63075230348889,38.822067,0.057569279689737,5368.5254,5616.082
RGI2000-v7.0-G-15-02839,,30.1682431926973,81.62397007339645,30.169669,81.62426597462681,37.65372,0.05661420111303,5389.7773,5633.2583
RGI2000-v7.0-G-15-02840,,30.163340092291843,81.61769890086406,30.169366,81.61535110114143,21.453005,0.601677129049251,5083.7227,5573.1367
RGI2000-v7.0-G-15-02841,,30.167709772491587,81.6060747170359,30.1663885,81.60764699048804,33.829742,0.340683620023463,5099.266,5434.314
RGI2000-v7.0-G-15-02842,,30.171706735728712,81.6049335377816,30.178405499999997,81.61273969627524,22.591467,0.969213441229167,5046.315,5706.794
RGI2000-v7.0-G-15-02843,,30.153786835473795,81.59932746722775,30.1535875,81.6002872119293,26.252573,0.01867295378024,5254.4053,5361.3496
RGI2000-v7.0-G-15-02844,,30.18319543000542,81.75678228934515,30.179032499999998,81.75712185656994,31.630714,0.34381621330573,5173.1167,5814.715
RGI2000-v7.0-G-15-02845,,30.174349378464516,81.75663089067784,30.1749625,81.75860978872437,40.005264,0.044854655646786,5447.7344,5733.627
RGI2000-v7.0-G-15-02847,,30.18521301889118,81.7556519750238,30.182277499999998,81.769774661706,20.095148,2.045024798511128,5108.679,5849.9497
RGI2000-v7.0-G-15-02849,,30.16806919771181,81.78914493938794,30.1688605,81.7899782607438,40.44618,0.017731711303502,5647.838,5796.1104
RGI2000-v7.0-G-15-02854,,30.123964227709564,81.78846072588658,30.1220615,81.78863921992823,33.441147,0.056586177106634,5104.4834,5377.6445
RGI2000-v7.0-G-15-02855,,30.12284149275285,81.78540755088368,30.12106,81.78529791334894,26.102974,0.050426777074971,5107.744,5255.248
RGI2000-v7.0-G-15-02857,,30.116234980312512,81.80484757620908,30.116512,81.80219426652913,21.392103,0.109236958449374,5183.1357,5396.798
RGI2000-v7.0-G-15-02858,,30.116926272729884,81.81141093009846,30.120478,81.8069768924185,22.843786,0.59809137065043,5090.8228,5562.489
RGI2000-v7.0-G-15-02861,,30.108499452993875,81.78173869116209,30.103175,81.78427154166667,24.518587,0.414653959186253,4878.69,5396.6113
RGI2000-v7.0-G-15-02862,,30.095365735240076,81.82652907443371,30.0929305,81.82710902086006,22.85544,0.186653826185621,4769.3467,4965.9775
RGI2000-v7.0-G-15-02863,,30.097243492591712,81.83757981419392,30.0951875,81.83690024315189,25.289915,0.192071813789216,4737.7295,4970.769
RGI2000-v7.0-G-15-02865,,30.121892441251994,81.86671018998177,30.119816999999998,81.86741369979362,22.238886,0.112016758192766,5058.7036,5237.8135
RGI2000-v7.0-G-15-02866,,30.12665522266993,81.87670291493049,30.125452000000003,81.87614914726737,22.897184,0.03961823049781,5057.275,5162.6924
RGI2000-v7.0-G-15-02867,,30.121218581841745,81.8842730731693,30.130549,81.88765227683692,24.78242,1.484043057222951,4779.8823,5661.355
RGI2000-v7.0-G-15-02870,,30.11466156435364,81.90287750671109,30.123267499999997,81.90471634099566,21.04566,1.435432286027342,4927.9224,5704.9272
RGI2000-v7.0-G-15-02871,,30.11886166714289,81.90051183653863,30.12032,81.90086463851353,35.539463,0.074451120840937,5229.3037,5463.2427
RGI2000-v7.0-G-15-02872,,30.117932333660203,81.89521369680828,30.120784,81.89689006552658,30.90907,0.105854224011873,5162.1914,5597.3647
RGI2000-v7.0-G-15-02873,,30.12884611437627,81.92214849440961,30.121004,81.91944586134687,23.577555,0.794859758896571,4835.1255,5466.477
RGI2000-v7.0-G-15-02874,,30.120523508698014,81.93533828493089,30.1103895,81.92824239650638,28.692886,2.903144461589497,4656.3657,6164.7964
RGI2000-v7.0-G-15-02876,,30.107040973923098,81.8859823244678,30.098563499999997,81.8947094396149,23.345778,1.027668511452084,4535.623,5466.981
RGI2000-v7.0-G-15-02877,,30.106186601279223,81.88266444614132,30.097499499999998,81.88479467503706,26.051746,0.852210213383323,4539.0776,5431.5146
RGI2000-v7.0-G-15-02878,,30.086507174052112,81.90422085085336,30.089484,81.90675466763285,36.020065,0.210871727231499,4934.223,5643.402
RGI2000-v7.0-G-15-02879,,30.084472110494712,81.9076953657611,30.086438,81.90964168587361,33.798817,0.158215847502998,4981.694,5479.71
RGI2000-v7.0-G-15-02880,,30.083336674822156,81.91031221012994,30.0839425,81.9121945727756,26.556007,0.055717422680257,5202.4146,5410.363
RGI2000-v7.0-G-15-02882,,30.087257328550265,81.94541789319082,30.082631,81.9357676541058,25.490053,0.625933271531107,4764.243,5587.6533
RGI2000-v7.0-G-15-02883,,30.071034904154097,81.9372609834232,30.071851000000002,81.93493523238067,36.37277,0.110923574797027,5310.82,5537.7524
RGI2000-v7.0-G-15-02884,,30.068076213879028,81.94327789027774,30.072195,81.94063195,32.62702,0.515621003467105,4927.0337,5731.0723
RGI2000-v7.0-G-15-02885,,30.07015250467831,81.94989223506825,30.071362999999998,81.9523771413243,37.089657,0.222065781135034,4891.297,5603.2944
RGI2000-v7.0-G-15-02886,,30.066660966669502,81.96828530844644,30.0682475,81.96306346320232,26.369383,0.299298617625322,4990.8447,5599.035
RGI2000-v7.0-G-15-02887,,30.093683115799717,81.96169541395163,30.083006500000003,81.95179651706796,23.475555,1.535967398618984,4462.845,5596.2544
RGI2000-v7.0-G-15-02888,,30.095742764483422,81.93998452774075,30.095929499999997,81.93770098840207,21.232527,0.277434277489349,5165.445,5415.777
RGI2000-v7.0-G-15-02889,,30.06238130652932,81.9245338150888,30.0644735,81.92523438738799,31.65795,0.088647431816335,4940.436,5198.4204
RGI2000-v7.0-G-15-02890,,30.069137943580714,81.91702141225919,30.0670775,81.91855795672842,35.885517,0.088597910283602,4844.6553,5119.682
RGI2000-v7.0-G-15-02891,,30.070657956430008,81.90333347944919,30.062970999999997,81.9113665307517,20.753576,1.086390570264078,4287.1523,5074.027
RGI2000-v7.0-G-15-02892,,30.066786625909646,81.90043811282803,30.0600625,81.90215351944379,36.05216,0.30123321790779,4413.713,5505.8574
RGI2000-v7.0-G-15-02893,,30.061835560975755,81.89004612244283,30.0531605,81.8949526949244,28.804085,0.671285852574718,4311.2334,5378.97
RGI2000-v7.0-G-15-02894,,30.049968021449104,81.88893287125987,30.046935,81.88857486786512,33.911964,0.056487272426786,5055.0166,5430.8516
RGI2000-v7.0-G-15-02895,,30.04913489722167,81.88358069753481,30.046974,81.88439905886196,43.815502,0.068398639755119,4746.929,5391.535
RGI2000-v7.0-G-15-02897,,30.033506024837223,81.88527418261987,30.038259500000002,81.89082669366346,26.869795,0.349702445439692,4735.407,5275.9194
RGI2000-v7.0-G-15-02898,,30.035357896416382,81.89656364091151,30.039237999999997,81.89389330128768,21.634308,0.238774583026214,4851.769,5223.939
RGI2000-v7.0-G-15-02899,,30.03580234315732,81.90637514797963,30.043558,81.90440562560849,20.971292,1.120086101425824,4692.018,5387.8354
RGI2000-v7.0-G-15-02900,,30.04625119155045,81.9140325382762,30.047016,81.91208137432054,34.24104,0.153022104929041,5048.1255,5334.5967
RGI2000-v7.0-G-15-02902,,30.04606050166377,81.92118747368794,30.049083,81.91917651667907,24.563673,0.145768188521687,4719.2603,5042.5728
